Governor ID,Governor Name, Power at start,Kill Score at start,Dead at start,Begining Power vs Last Scan,Begining Kills vs Last Scan,Begining Dead vs Last Scan,Power Pas 4 ,Difference Pass 4,Kill Score Pas 4, Difference Pas 4 ,Dead Pas 4, Difference Pas 4, Power Pass 5&6, Difference Pass 5&6,Kill Score Pass 5&6, Difference Pass 5&6,Unit Lost Pass 5&6, Difference Pass 5&6, Power Pass 7, Difference Pass 7,Kill Score Pass 7, Difference Pass 7,Unit Lost Pass 7, Difference Pass 7, Power Kingsland , Difference Kingsland ,Kill Score Kingsland, Difference Kingsland 7,Unit Lost Kingsland, Difference Kingsland 8, Power KVK End , Difference Power KVK End ,Kill Score Power KVK End, Difference Power KVK End 9,Unit Lost Power KVK End, Difference Power KVK End 10
24836505,Càndy Shop,60409137 ,250770993 ,8858665 ,298196 ,0 ,0 ,60594689 ,185552 ,250770993 ,,8858665 ,0 ,60707333 ,112644 ,250770993 ,0 ,8858665 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23697905,ᴛᴇᴅmondo,53255315 ,154909505 ,7280863 ,684000 ,0 ,0 ,53659315 ,404000 ,154909505 ,,7280863 ,0 ,53939315 ,280000 ,154909505 ,0 ,7280863 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41151325,EatPickle,52376524 ,17190181 ,4314063 ,710492 ,0 ,0 ,52755484 ,378960 ,17190181 ,,4314063 ,0 ,53087016 ,331532 ,17190181 ,0 ,4314063 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33448118,MaggieGreeneè,47030538 ,42774413 ,2349776 ,749361 ,0 ,0 ,47199142 ,168604 ,42774413 ,,2349776 ,0 ,47779899 ,580757 ,42774413 ,0 ,2349776 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41021385,Sharpi,46675383 ,2225080 ,1707701 ,1078380 ,0 ,0 ,47393704 ,718321 ,2225080 ,,1707701 ,0 ,47753763 ,360059 ,2225080 ,0 ,1707701 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41017112,Der Die Das,44530868 ,24012099 ,7480884 ,52534 ,0 ,0 ,44530868 ,0 ,24012099 ,,7480884 ,0 ,44583402 ,52534 ,24012099 ,0 ,7480884 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41080561,flyblack,43487721 ,7544171 ,1960486 ,2401220 ,0 ,0 ,44632180 ,1144459 ,7544171 ,,1960486 ,0 ,45888941 ,1256761 ,7544171 ,0 ,1960486 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78595609,아침새 2,43460768 ,4190098 ,1762170 ,118160 ,0 ,0 ,43554928 ,94160 ,4190098 ,,1762170 ,0 ,43578928 ,24000 ,4190098 ,0 ,1762170 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40960077,10061970,41168271 ,34130620 ,13793187 ,1560348 ,0 ,0 ,42228328 ,1060057 ,34130620 ,,13793187 ,0 ,42728619 ,500291 ,34130620 ,0 ,13793187 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160654829,ŒCB,40475072 ,99468838 ,2160540 ,393469 ,0 ,0 ,40868541 ,393469 ,99468838 ,,2160540 ,0 ,40868541 ,0 ,99468838 ,0 ,2160540 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62705356,Rafiki Jr,39493825 ,29456949 ,3021937 ,331172 ,0 ,0 ,39695197 ,201372 ,29456949 ,,3021937 ,0 ,39824997 ,129800 ,29456949 ,0 ,3021937 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46005845,RickGrimeS,39351082 ,10429905 ,1516838 ,177600 ,0 ,0 ,39456482 ,105400 ,10429905 ,,1516838 ,0 ,39528682 ,72200 ,10429905 ,0 ,1516838 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21872885,NitramX,39086315 ,4823460 ,2258390 ,625749 ,0 ,0 ,39289271 ,202956 ,4823460 ,,2258390 ,0 ,39712064 ,422793 ,4823460 ,0 ,2258390 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33508521,JohnWICK1,37526009 ,4809781 ,1686961 ,400068 ,0 ,0 ,37781163 ,255154 ,4809781 ,,1686961 ,0 ,37926077 ,144914 ,4809781 ,0 ,1686961 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28469676,Mini Clodo,35400759 ,11613923 ,5639836 ,106727 ,0 ,0 ,35424086 ,23327 ,11613923 ,,5639836 ,0 ,35507486 ,83400 ,11613923 ,0 ,5639836 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64043900,Lemi B Sweet,35288316 ,2655723 ,2017051 ,804805 ,0 ,0 ,35694659 ,406343 ,2655723 ,,2017051 ,0 ,36093121 ,398462 ,2655723 ,0 ,2017051 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41003447,Buddha is life,31564506 ,11188838 ,6343158 ,277113 ,0 ,0 ,31564506 ,0 ,11188838 ,,6343158 ,0 ,31841619 ,277113 ,11188838 ,0 ,6343158 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62362414,1Clark1,31448215 ,4573613 ,2160377 ,730470 ,0 ,0 ,31548815 ,100600 ,4573613 ,,2160377 ,0 ,32178685 ,629870 ,4573613 ,0 ,2160377 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37783566,WhiteTigger 1,30866799 ,112986369 ,5078886 ,599536 ,0 ,0 ,31162071 ,295272 ,112986369 ,,5078886 ,0 ,31466335 ,304264 ,112986369 ,0 ,5078886 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41377688,showmethemone,30846572 ,9060381 ,182706 ,0 ,0 ,0 ,30846572 ,0 ,9060381 ,,182706 ,0 ,30846572 ,0 ,9060381 ,0 ,182706 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46936164,IamNegaN,29761282 ,8233901 ,3213105 ,258468 ,0 ,0 ,29926600 ,165318 ,8233901 ,,3213105 ,0 ,30019750 ,93150 ,8233901 ,0 ,3213105 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
